,Line Name,OD340,MOPS[mM],Tricine[mM],H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],Kan[g/l],Condition,condition
113,C3.1_WA8_C8-R2,0.4377,40.0,4.0,0.011408,20.0,0.724763,3.111455,0.050026,11.646532,0.449883,313.438848,2.8e-05,0.000923,0.005971,0.003014,0.001872,0.05,C3.1_WA8_C8,C3.1_WA8_C8
114,C3.1_WA8_C8-R3,0.4634,40.0,4.0,0.011408,20.0,0.724763,3.111455,0.050026,11.646532,0.449883,313.438848,2.8e-05,0.000923,0.005971,0.003014,0.001872,0.05,C3.1_WA8_C8,C3.1_WA8_C8
115,C3.1_WD1_F1-R1,0.4412,40.0,4.0,0.002039,20.0,0.306612,11.755484,0.013897,13.529082,0.460584,517.597679,4.3e-05,0.004579,0.002872,0.012345,0.001194,0.05,C3.1_WD1_F1,C3.1_WD1_F1
116,C3.1_WD1_F1-R2,0.4584,40.0,4.0,0.002039,20.0,0.306612,11.755484,0.013897,13.529082,0.460584,517.597679,4.3e-05,0.004579,0.002872,0.012345,0.001194,0.05,C3.1_WD1_F1,C3.1_WD1_F1
117,C3.1_WD1_F1-R3,0.4581,40.0,4.0,0.002039,20.0,0.306612,11.755484,0.013897,13.529082,0.460584,517.597679,4.3e-05,0.004579,0.002872,0.012345,0.001194,0.05,C3.1_WD1_F1,C3.1_WD1_F1
118,C3.1_WD2_F2-R1,0.4278,40.0,4.0,0.011245,20.0,0.383651,11.84289,0.0039,16.703398,0.336866,394.461806,0.000535,0.005284,0.004519,0.007648,0.000159,0.05,C3.1_WD2_F2,C3.1_WD2_F2
119,C3.1_WD2_F2-R2,0.4591,40.0,4.0,0.011245,20.0,0.383651,11.84289,0.0039,16.703398,0.336866,394.461806,0.000535,0.005284,0.004519,0.007648,0.000159,0.05,C3.1_WD2_F2,C3.1_WD2_F2
120,C3.1_WD2_F2-R3,0.4626,40.0,4.0,0.011245,20.0,0.383651,11.84289,0.0039,16.703398,0.336866,394.461806,0.000535,0.005284,0.004519,0.007648,0.000159,0.05,C3.1_WD2_F2,C3.1_WD2_F2
121,C3.1_WD3_F3-R1,0.4338,40.0,4.0,0.011246,20.0,0.38365,11.84289,0.003892,16.703398,0.336866,394.461806,0.000361,0.005282,0.004517,0.006113,0.000138,0.05,C3.1_WD3_F3,C3.1_WD3_F3
122,C3.1_WD3_F3-R2,0.4583,40.0,4.0,0.011246,20.0,0.38365,11.84289,0.003892,16.703398,0.336866,394.461806,0.000361,0.005282,0.004517,0.006113,0.000138,0.05,C3.1_WD3_F3,C3.1_WD3_F3
123,C3.1_WD3_F3-R3,0.4677,40.0,4.0,0.011246,20.0,0.38365,11.84289,0.003892,16.703398,0.336866,394.461806,0.000361,0.005282,0.004517,0.006113,0.000138,0.05,C3.1_WD3_F3,C3.1_WD3_F3
124,C3.1_WD4_F4-R1,0.508,40.0,4.0,0.012211,20.0,0.908271,2.963284,0.03781,10.605157,0.489014,356.912931,4.5e-05,0.00079,0.002844,0.012312,0.000257,0.05,C3.1_WD4_F4,C3.1_WD4_F4
125,C3.1_WD4_F4-R2,0.4213,40.0,4.0,0.012211,20.0,0.908271,2.963284,0.03781,10.605157,0.489014,356.912931,4.5e-05,0.00079,0.002844,0.012312,0.000257,0.05,C3.1_WD4_F4,C3.1_WD4_F4
126,C3.1_WD4_F4-R3,0.4187,40.0,4.0,0.012211,20.0,0.908271,2.963284,0.03781,10.605157,0.489014,356.912931,4.5e-05,0.00079,0.002844,0.012312,0.000257,0.05,C3.1_WD4_F4,C3.1_WD4_F4
127,C3.1_WD5_F5-R1,0.53,40.0,4.0,0.013211,20.0,0.681831,2.611117,0.038911,11.845338,0.475419,357.591427,2.8e-05,0.000645,0.003254,0.004387,0.000543,0.05,C3.1_WD5_F5,C3.1_WD5_F5
128,C3.1_WD5_F5-R2,0.5492,40.0,4.0,0.013211,20.0,0.681831,2.611117,0.038911,11.845338,0.475419,357.591427,2.8e-05,0.000645,0.003254,0.004387,0.000543,0.05,C3.1_WD5_F5,C3.1_WD5_F5
129,C3.1_WD5_F5-R3,0.45,40.0,4.0,0.013211,20.0,0.681831,2.611117,0.038911,11.845338,0.475419,357.591427,2.8e-05,0.000645,0.003254,0.004387,0.000543,0.05,C3.1_WD5_F5,C3.1_WD5_F5
130,C3.1_WD6_F6-R1,0.5099,40.0,4.0,0.011976,20.0,0.710597,2.655052,0.048063,11.081762,0.457352,403.495641,3.8e-05,0.000424,0.000995,0.013831,0.00017,0.05,C3.1_WD6_F6,C3.1_WD6_F6
131,C3.1_WD6_F6-R2,0.5472,40.0,4.0,0.011976,20.0,0.710597,2.655052,0.048063,11.081762,0.457352,403.495641,3.8e-05,0.000424,0.000995,0.013831,0.00017,0.05,C3.1_WD6_F6,C3.1_WD6_F6
132,C3.1_WD6_F6-R3,0.4132,40.0,4.0,0.011976,20.0,0.710597,2.655052,0.048063,11.081762,0.457352,403.495641,3.8e-05,0.000424,0.000995,0.013831,0.00017,0.05,C3.1_WD6_F6,C3.1_WD6_F6
133,C3.1_WD7_F7-R1,0.4094,40.0,4.0,0.012305,20.0,0.795866,2.123382,0.049167,10.839289,0.510871,386.600976,2.2e-05,0.000946,0.001125,0.013717,0.001156,0.05,C3.1_WD7_F7,C3.1_WD7_F7
134,C3.1_WD7_F7-R2,0.5667,40.0,4.0,0.012305,20.0,0.795866,2.123382,0.049167,10.839289,0.510871,386.600976,2.2e-05,0.000946,0.001125,0.013717,0.001156,0.05,C3.1_WD7_F7,C3.1_WD7_F7
135,C3.1_WD7_F7-R3,0.428,40.0,4.0,0.012305,20.0,0.795866,2.123382,0.049167,10.839289,0.510871,386.600976,2.2e-05,0.000946,0.001125,0.013717,0.001156,0.05,C3.1_WD7_F7,C3.1_WD7_F7
136,C3.1_WD8_F8-R1,0.2499,40.0,4.0,0.00409,20.0,0.3158,1.395181,0.009462,9.766629,0.543018,52.665395,3e-05,0.000309,0.000103,0.000764,0.000106,0.05,C3.1_WD8_F8,C3.1_WD8_F8
137,C3.1_WD8_F8-R2,0.2753,40.0,4.0,0.00409,20.0,0.3158,1.395181,0.009462,9.766629,0.543018,52.665395,3e-05,0.000309,0.000103,0.000764,0.000106,0.05,C3.1_WD8_F8,C3.1_WD8_F8
138,C3.1_WD8_F8-R3,0.2692,40.0,4.0,0.00409,20.0,0.3158,1.395181,0.009462,9.766629,0.543018,52.665395,3e-05,0.000309,0.000103,0.000764,0.000106,0.05,C3.1_WD8_F8,C3.1_WD8_F8
139,C4.2_WA1_C1-R1,0.0074,40.0,4.0,0.045186,20.0,0.590637,4.413947,0.023892,47.480272,0.033098,651.233703,0.000541,0.00301,0.000536,0.007166,0.001252,0.05,C4.2_WA1_C1,C4.2_WA1_C1
140,C4.2_WA1_C1-R2,0.0032,40.0,4.0,0.045186,20.0,0.590637,4.413947,0.023892,47.480272,0.033098,651.233703,0.000541,0.00301,0.000536,0.007166,0.001252,0.05,C4.2_WA1_C1,C4.2_WA1_C1
141,C4.2_WA1_C1-R3,1e-05,40.0,4.0,0.045186,20.0,0.590637,4.413947,0.023892,47.480272,0.033098,651.233703,0.000541,0.00301,0.000536,0.007166,0.001252,0.05,C4.2_WA1_C1,C4.2_WA1_C1
142,C4.2_WA2_C2-R1,0.0759,40.0,4.0,0.060521,20.0,0.21361,4.231752,0.022273,31.848979,0.492975,782.078648,0.000481,0.003856,0.000222,0.007487,0.001706,0.05,C4.2_WA2_C2,C4.2_WA2_C2
143,C4.2_WA2_C2-R2,0.0395,40.0,4.0,0.060521,20.0,0.21361,4.231752,0.022273,31.848979,0.492975,782.078648,0.000481,0.003856,0.000222,0.007487,0.001706,0.05,C4.2_WA2_C2,C4.2_WA2_C2
144,C4.2_WA2_C2-R3,0.0352,40.0,4.0,0.060521,20.0,0.21361,4.231752,0.022273,31.848979,0.492975,782.078648,0.000481,0.003856,0.000222,0.007487,0.001706,0.05,C4.2_WA2_C2,C4.2_WA2_C2
145,C4.2_WA3_C3-R1,0.446,40.0,4.0,0.030435,20.0,0.573867,4.605107,0.075394,39.729834,0.288319,527.577417,0.000533,0.001293,0.000479,0.005522,0.001418,0.05,C4.2_WA3_C3,C4.2_WA3_C3
146,C4.2_WA3_C3-R2,0.4259,40.0,4.0,0.030435,20.0,0.573867,4.605107,0.075394,39.729834,0.288319,527.577417,0.000533,0.001293,0.000479,0.005522,0.001418,0.05,C4.2_WA3_C3,C4.2_WA3_C3
147,C4.2_WA3_C3-R3,0.4272,40.0,4.0,0.030435,20.0,0.573867,4.605107,0.075394,39.729834,0.288319,527.577417,0.000533,0.001293,0.000479,0.005522,0.001418,0.05,C4.2_WA3_C3,C4.2_WA3_C3
148,C4.2_WA4_C4-R1,0.4598,40.0,4.0,0.008666,20.0,0.674731,4.101003,0.044203,10.293334,0.26373,496.593169,0.000175,0.00141,0.0001,0.006292,0.000207,0.05,C4.2_WA4_C4,C4.2_WA4_C4
149,C4.2_WA4_C4-R2,0.4253,40.0,4.0,0.008666,20.0,0.674731,4.101003,0.044203,10.293334,0.26373,496.593169,0.000175,0.00141,0.0001,0.006292,0.000207,0.05,C4.2_WA4_C4,C4.2_WA4_C4
150,C4.2_WA4_C4-R3,0.4348,40.0,4.0,0.008666,20.0,0.674731,4.101003,0.044203,10.293334,0.26373,496.593169,0.000175,0.00141,0.0001,0.006292,0.000207,0.05,C4.2_WA4_C4,C4.2_WA4_C4
151,C4.2_WA5_C5-R1,0.4388,40.0,4.0,0.011664,20.0,0.400558,4.712679,0.043881,10.689284,0.285026,497.991592,0.000153,0.001605,0.000463,0.003221,0.000783,0.05,C4.2_WA5_C5,C4.2_WA5_C5
152,C4.2_WA5_C5-R2,0.4284,40.0,4.0,0.011664,20.0,0.400558,4.712679,0.043881,10.689284,0.285026,497.991592,0.000153,0.001605,0.000463,0.003221,0.000783,0.05,C4.2_WA5_C5,C4.2_WA5_C5
153,C4.2_WA5_C5-R3,0.4126,40.0,4.0,0.011664,20.0,0.400558,4.712679,0.043881,10.689284,0.285026,497.991592,0.000153,0.001605,0.000463,0.003221,0.000783,0.05,C4.2_WA5_C5,C4.2_WA5_C5
154,C4.2_WA6_C6-R1,0.4341,40.0,4.0,0.004231,20.0,0.59161,5.083742,0.045033,10.083175,0.876155,455.774052,0.000211,0.002533,0.000212,0.001691,0.000314,0.05,C4.2_WA6_C6,C4.2_WA6_C6
155,C4.2_WA6_C6-R2,0.419,40.0,4.0,0.004231,20.0,0.59161,5.083742,0.045033,10.083175,0.876155,455.774052,0.000211,0.002533,0.000212,0.001691,0.000314,0.05,C4.2_WA6_C6,C4.2_WA6_C6
156,C4.2_WA6_C6-R3,0.4161,40.0,4.0,0.004231,20.0,0.59161,5.083742,0.045033,10.083175,0.876155,455.774052,0.000211,0.002533,0.000212,0.001691,0.000314,0.05,C4.2_WA6_C6,C4.2_WA6_C6
157,C4.2_WA7_C7-R1,0.5887,40.0,4.0,0.014451,20.0,0.668507,4.284171,0.057786,11.409408,0.947277,444.830901,0.000171,0.001862,0.00048,0.00066,0.00076,0.05,C4.2_WA7_C7,C4.2_WA7_C7
158,C4.2_WA7_C7-R2,0.5741,40.0,4.0,0.014451,20.0,0.668507,4.284171,0.057786,11.409408,0.947277,444.830901,0.000171,0.001862,0.00048,0.00066,0.00076,0.05,C4.2_WA7_C7,C4.2_WA7_C7
159,C4.2_WA7_C7-R3,0.5671,40.0,4.0,0.014451,20.0,0.668507,4.284171,0.057786,11.409408,0.947277,444.830901,0.000171,0.001862,0.00048,0.00066,0.00076,0.05,C4.2_WA7_C7,C4.2_WA7_C7
160,C4.2_WA8_C8-R1,0.4413,40.0,4.0,0.009422,20.0,0.765774,3.926741,0.037959,12.684376,0.416545,460.648365,0.000129,0.002407,0.000314,0.011054,0.000472,0.05,C4.2_WA8_C8,C4.2_WA8_C8
161,C4.2_WA8_C8-R2,0.435,40.0,4.0,0.009422,20.0,0.765774,3.926741,0.037959,12.684376,0.416545,460.648365,0.000129,0.002407,0.000314,0.011054,0.000472,0.05,C4.2_WA8_C8,C4.2_WA8_C8
162,C4.2_WA8_C8-R3,0.4432,40.0,4.0,0.009422,20.0,0.765774,3.926741,0.037959,12.684376,0.416545,460.648365,0.000129,0.002407,0.000314,0.011054,0.000472,0.05,C4.2_WA8_C8,C4.2_WA8_C8
163,C4.2_WD1_F1-R1,1e-05,40.0,4.0,0.034717,20.0,0.641054,4.219546,0.022366,40.901081,0.156846,719.688474,0.000335,0.003982,0.000275,0.008757,0.00069,0.05,C4.2_WD1_F1,C4.2_WD1_F1
164,C4.2_WD1_F1-R2,0.0009,40.0,4.0,0.034717,20.0,0.641054,4.219546,0.022366,40.901081,0.156846,719.688474,0.000335,0.003982,0.000275,0.008757,0.00069,0.05,C4.2_WD1_F1,C4.2_WD1_F1
165,C4.2_WD1_F1-R3,0.0005,40.0,4.0,0.034717,20.0,0.641054,4.219546,0.022366,40.901081,0.156846,719.688474,0.000335,0.003982,0.000275,0.008757,0.00069,0.05,C4.2_WD1_F1,C4.2_WD1_F1
166,C4.2_WD2_F2-R1,0.4207,40.0,4.0,0.031501,20.0,0.312703,4.210275,0.067582,44.136699,0.320089,472.095944,0.000427,0.000882,0.000137,0.012223,0.000856,0.05,C4.2_WD2_F2,C4.2_WD2_F2
167,C4.2_WD2_F2-R2,0.429,40.0,4.0,0.031501,20.0,0.312703,4.210275,0.067582,44.136699,0.320089,472.095944,0.000427,0.000882,0.000137,0.012223,0.000856,0.05,C4.2_WD2_F2,C4.2_WD2_F2
168,C4.2_WD2_F2-R3,0.4528,40.0,4.0,0.031501,20.0,0.312703,4.210275,0.067582,44.136699,0.320089,472.095944,0.000427,0.000882,0.000137,0.012223,0.000856,0.05,C4.2_WD2_F2,C4.2_WD2_F2
169,C4.2_WD3_F3-R1,0.461,40.0,4.0,0.006421,20.0,0.673537,4.557756,0.054778,9.943405,0.249469,458.885336,0.000175,0.001855,0.00026,0.002031,0.000254,0.05,C4.2_WD3_F3,C4.2_WD3_F3
170,C4.2_WD3_F3-R2,0.4883,40.0,4.0,0.006421,20.0,0.673537,4.557756,0.054778,9.943405,0.249469,458.885336,0.000175,0.001855,0.00026,0.002031,0.000254,0.05,C4.2_WD3_F3,C4.2_WD3_F3
171,C4.2_WD3_F3-R3,0.486,40.0,4.0,0.006421,20.0,0.673537,4.557756,0.054778,9.943405,0.249469,458.885336,0.000175,0.001855,0.00026,0.002031,0.000254,0.05,C4.2_WD3_F3,C4.2_WD3_F3
172,C4.2_WD4_F4-R1,0.4641,40.0,4.0,0.008666,20.0,0.674731,4.275314,0.055751,10.293334,0.128261,449.824314,0.000142,0.001889,0.000466,0.006292,0.000207,0.05,C4.2_WD4_F4,C4.2_WD4_F4
173,C4.2_WD4_F4-R2,0.4942,40.0,4.0,0.008666,20.0,0.674731,4.275314,0.055751,10.293334,0.128261,449.824314,0.000142,0.001889,0.000466,0.006292,0.000207,0.05,C4.2_WD4_F4,C4.2_WD4_F4
174,C4.2_WD4_F4-R3,0.4952,40.0,4.0,0.008666,20.0,0.674731,4.275314,0.055751,10.293334,0.128261,449.824314,0.000142,0.001889,0.000466,0.006292,0.000207,0.05,C4.2_WD4_F4,C4.2_WD4_F4
175,C4.2_WD5_F5-R1,0.4311,40.0,4.0,0.00543,20.0,0.248592,4.194682,0.05171,10.086137,0.239106,445.886624,0.000157,0.000849,0.000281,0.010667,0.000638,0.05,C4.2_WD5_F5,C4.2_WD5_F5
176,C4.2_WD5_F5-R2,0.4665,40.0,4.0,0.00543,20.0,0.248592,4.194682,0.05171,10.086137,0.239106,445.886624,0.000157,0.000849,0.000281,0.010667,0.000638,0.05,C4.2_WD5_F5,C4.2_WD5_F5
177,C4.2_WD5_F5-R3,0.4549,40.0,4.0,0.00543,20.0,0.248592,4.194682,0.05171,10.086137,0.239106,445.886624,0.000157,0.000849,0.000281,0.010667,0.000638,0.05,C4.2_WD5_F5,C4.2_WD5_F5
178,C4.2_WD6_F6-R1,0.4032,40.0,4.0,0.01272,20.0,0.762141,6.489701,0.050776,10.564076,0.891038,456.485818,0.00017,0.00199,5.9e-05,0.003392,0.000252,0.05,C4.2_WD6_F6,C4.2_WD6_F6
179,C4.2_WD6_F6-R2,0.4282,40.0,4.0,0.01272,20.0,0.762141,6.489701,0.050776,10.564076,0.891038,456.485818,0.00017,0.00199,5.9e-05,0.003392,0.000252,0.05,C4.2_WD6_F6,C4.2_WD6_F6
180,C4.2_WD6_F6-R3,0.4465,40.0,4.0,0.01272,20.0,0.762141,6.489701,0.050776,10.564076,0.891038,456.485818,0.00017,0.00199,5.9e-05,0.003392,0.000252,0.05,C4.2_WD6_F6,C4.2_WD6_F6
181,C4.2_WD7_F7-R1,0.594,40.0,4.0,0.017924,20.0,0.690362,3.544519,0.057062,11.180931,0.886672,492.15367,0.000229,0.002112,0.000474,0.002997,0.000219,0.05,C4.2_WD7_F7,C4.2_WD7_F7
182,C4.2_WD7_F7-R2,0.6004,40.0,4.0,0.017924,20.0,0.690362,3.544519,0.057062,11.180931,0.886672,492.15367,0.000229,0.002112,0.000474,0.002997,0.000219,0.05,C4.2_WD7_F7,C4.2_WD7_F7
183,C4.2_WD7_F7-R3,0.6068,40.0,4.0,0.017924,20.0,0.690362,3.544519,0.057062,11.180931,0.886672,492.15367,0.000229,0.002112,0.000474,0.002997,0.000219,0.05,C4.2_WD7_F7,C4.2_WD7_F7
184,C4.2_WD8_F8-R1,0.2427,40.0,4.0,0.004165,20.0,0.287965,1.387221,0.0103,10.109658,0.517059,51.122061,3.1e-05,0.000287,0.000101,0.000851,9.5e-05,0.05,C4.2_WD8_F8,C4.2_WD8_F8
185,C4.2_WD8_F8-R2,0.2377,40.0,4.0,0.004165,20.0,0.287965,1.387221,0.0103,10.109658,0.517059,51.122061,3.1e-05,0.000287,0.000101,0.000851,9.5e-05,0.05,C4.2_WD8_F8,C4.2_WD8_F8
186,C4.2_WD8_F8-R3,0.2451,40.0,4.0,0.004165,20.0,0.287965,1.387221,0.0103,10.109658,0.517059,51.122061,3.1e-05,0.000287,0.000101,0.000851,9.5e-05,0.05,C4.2_WD8_F8,C4.2_WD8_F8
187,C5.1_WA1_C1-R1,0.4041,40.0,4.0,0.076872,20.0,0.673352,4.035057,0.044932,37.450241,1.085799,589.411309,0.000352,0.00247,0.005744,0.006587,5.7e-05,0.05,C5.1_WA1_C1,C5.1_WA1_C1
188,C5.1_WA1_C1-R2,0.3901,40.0,4.0,0.076872,20.0,0.673352,4.035057,0.044932,37.450241,1.085799,589.411309,0.000352,0.00247,0.005744,0.006587,5.7e-05,0.05,C5.1_WA1_C1,C5.1_WA1_C1
189,C5.1_WA1_C1-R3,0.379,40.0,4.0,0.076872,20.0,0.673352,4.035057,0.044932,37.450241,1.085799,589.411309,0.000352,0.00247,0.005744,0.006587,5.7e-05,0.05,C5.1_WA1_C1,C5.1_WA1_C1
190,C5.1_WA2_C2-R1,0.4014,40.0,4.0,0.079391,20.0,0.805942,3.834796,0.047726,36.90715,1.195513,589.465451,0.000363,0.002957,0.005811,0.008507,0.000865,0.05,C5.1_WA2_C2,C5.1_WA2_C2
191,C5.1_WA2_C2-R2,0.3694,40.0,4.0,0.079391,20.0,0.805942,3.834796,0.047726,36.90715,1.195513,589.465451,0.000363,0.002957,0.005811,0.008507,0.000865,0.05,C5.1_WA2_C2,C5.1_WA2_C2
192,C5.1_WA2_C2-R3,0.3796,40.0,4.0,0.079391,20.0,0.805942,3.834796,0.047726,36.90715,1.195513,589.465451,0.000363,0.002957,0.005811,0.008507,0.000865,0.05,C5.1_WA2_C2,C5.1_WA2_C2
193,C5.1_WA3_C3-R1,0.4174,40.0,4.0,0.075269,20.0,0.865534,12.985539,0.035616,35.801194,1.375059,589.426056,0.000415,0.005296,0.005948,0.010879,0.001283,0.05,C5.1_WA3_C3,C5.1_WA3_C3
194,C5.1_WA3_C3-R2,0.3984,40.0,4.0,0.075269,20.0,0.865534,12.985539,0.035616,35.801194,1.375059,589.426056,0.000415,0.005296,0.005948,0.010879,0.001283,0.05,C5.1_WA3_C3,C5.1_WA3_C3
195,C5.1_WA3_C3-R3,0.3236,40.0,4.0,0.075269,20.0,0.865534,12.985539,0.035616,35.801194,1.375059,589.426056,0.000415,0.005296,0.005948,0.010879,0.001283,0.05,C5.1_WA3_C3,C5.1_WA3_C3
196,C5.1_WA4_C4-R1,0.5169,40.0,4.0,0.019222,20.0,0.307674,3.525611,0.058275,11.126672,0.964694,481.093379,0.000238,0.002163,0.00132,0.000315,0.000475,0.05,C5.1_WA4_C4,C5.1_WA4_C4
197,C5.1_WA4_C4-R2,0.5162,40.0,4.0,0.019222,20.0,0.307674,3.525611,0.058275,11.126672,0.964694,481.093379,0.000238,0.002163,0.00132,0.000315,0.000475,0.05,C5.1_WA4_C4,C5.1_WA4_C4
198,C5.1_WA4_C4-R3,0.5688,40.0,4.0,0.019222,20.0,0.307674,3.525611,0.058275,11.126672,0.964694,481.093379,0.000238,0.002163,0.00132,0.000315,0.000475,0.05,C5.1_WA4_C4,C5.1_WA4_C4
199,C5.1_WA5_C5-R1,0.5803,40.0,4.0,0.020716,20.0,0.854504,3.601388,0.063508,13.107555,0.614551,424.063716,0.000202,0.001614,0.001494,0.00112,0.00039,0.05,C5.1_WA5_C5,C5.1_WA5_C5
200,C5.1_WA5_C5-R2,0.6181,40.0,4.0,0.020716,20.0,0.854504,3.601388,0.063508,13.107555,0.614551,424.063716,0.000202,0.001614,0.001494,0.00112,0.00039,0.05,C5.1_WA5_C5,C5.1_WA5_C5
201,C5.1_WA5_C5-R3,0.607,40.0,4.0,0.020716,20.0,0.854504,3.601388,0.063508,13.107555,0.614551,424.063716,0.000202,0.001614,0.001494,0.00112,0.00039,0.05,C5.1_WA5_C5,C5.1_WA5_C5
202,C5.1_WA6_C6-R1,0.5079,40.0,4.0,0.013484,20.0,0.476176,3.018758,0.058552,14.844126,1.0351,506.393128,0.000191,0.001317,0.001272,0.003978,0.00059,0.05,C5.1_WA6_C6,C5.1_WA6_C6
203,C5.1_WA6_C6-R2,0.5162,40.0,4.0,0.013484,20.0,0.476176,3.018758,0.058552,14.844126,1.0351,506.393128,0.000191,0.001317,0.001272,0.003978,0.00059,0.05,C5.1_WA6_C6,C5.1_WA6_C6
204,C5.1_WA6_C6-R3,0.5693,40.0,4.0,0.013484,20.0,0.476176,3.018758,0.058552,14.844126,1.0351,506.393128,0.000191,0.001317,0.001272,0.003978,0.00059,0.05,C5.1_WA6_C6,C5.1_WA6_C6
205,C5.1_WA7_C7-R1,0.5765,40.0,4.0,0.015798,20.0,0.801194,3.393851,0.066774,11.368197,0.590902,405.639898,0.000209,0.001154,0.003318,0.004075,0.000986,0.05,C5.1_WA7_C7,C5.1_WA7_C7
206,C5.1_WA7_C7-R2,0.6729,40.0,4.0,0.015798,20.0,0.801194,3.393851,0.066774,11.368197,0.590902,405.639898,0.000209,0.001154,0.003318,0.004075,0.000986,0.05,C5.1_WA7_C7,C5.1_WA7_C7
207,C5.1_WA7_C7-R3,0.5798,40.0,4.0,0.015798,20.0,0.801194,3.393851,0.066774,11.368197,0.590902,405.639898,0.000209,0.001154,0.003318,0.004075,0.000986,0.05,C5.1_WA7_C7,C5.1_WA7_C7
208,C5.1_WA8_C8-R1,0.5209,40.0,4.0,0.02434,20.0,0.817264,3.051005,0.064364,17.090542,1.095888,421.914934,0.000162,0.003515,0.001001,0.00447,0.000695,0.05,C5.1_WA8_C8,C5.1_WA8_C8
209,C5.1_WA8_C8-R2,0.5504,40.0,4.0,0.02434,20.0,0.817264,3.051005,0.064364,17.090542,1.095888,421.914934,0.000162,0.003515,0.001001,0.00447,0.000695,0.05,C5.1_WA8_C8,C5.1_WA8_C8
210,C5.1_WA8_C8-R3,0.5908,40.0,4.0,0.02434,20.0,0.817264,3.051005,0.064364,17.090542,1.095888,421.914934,0.000162,0.003515,0.001001,0.00447,0.000695,0.05,C5.1_WA8_C8,C5.1_WA8_C8
211,C5.1_WD1_F1-R3,0.3712,40.0,4.0,0.074569,20.0,0.7104,3.865275,0.043698,37.793069,1.002822,589.640781,0.000391,0.003163,0.005799,0.012223,0.00027,0.05,C5.1_WD1_F1,C5.1_WD1_F1
212,C5.1_WD2_F2-R1,0.3838,40.0,4.0,0.075384,20.0,0.509501,11.382077,0.045044,36.538656,1.22658,589.564078,0.000577,0.002424,0.005322,0.012354,0.00033,0.05,C5.1_WD2_F2,C5.1_WD2_F2
213,C5.1_WD2_F2-R2,0.4186,40.0,4.0,0.075384,20.0,0.509501,11.382077,0.045044,36.538656,1.22658,589.564078,0.000577,0.002424,0.005322,0.012354,0.00033,0.05,C5.1_WD2_F2,C5.1_WD2_F2
214,C5.1_WD2_F2-R3,0.4335,40.0,4.0,0.075384,20.0,0.509501,11.382077,0.045044,36.538656,1.22658,589.564078,0.000577,0.002424,0.005322,0.012354,0.00033,0.05,C5.1_WD2_F2,C5.1_WD2_F2
215,C5.1_WD3_F3-R1,0.7174,40.0,4.0,0.015919,20.0,0.229308,2.598355,0.060683,10.860956,0.374061,493.688987,0.000186,0.00213,0.001261,0.000849,0.000152,0.05,C5.1_WD3_F3,C5.1_WD3_F3
216,C5.1_WD3_F3-R3,0.7271,40.0,4.0,0.015919,20.0,0.229308,2.598355,0.060683,10.860956,0.374061,493.688987,0.000186,0.00213,0.001261,0.000849,0.000152,0.05,C5.1_WD3_F3,C5.1_WD3_F3
217,C5.1_WD4_F4-R1,0.6418,40.0,4.0,0.018093,20.0,0.806326,2.806326,0.05822,15.042509,0.636144,454.40883,0.000217,0.002151,0.001782,0.000297,0.0005,0.05,C5.1_WD4_F4,C5.1_WD4_F4
218,C5.1_WD4_F4-R2,0.6786,40.0,4.0,0.018093,20.0,0.806326,2.806326,0.05822,15.042509,0.636144,454.40883,0.000217,0.002151,0.001782,0.000297,0.0005,0.05,C5.1_WD4_F4,C5.1_WD4_F4
219,C5.1_WD4_F4-R3,0.6488,40.0,4.0,0.018093,20.0,0.806326,2.806326,0.05822,15.042509,0.636144,454.40883,0.000217,0.002151,0.001782,0.000297,0.0005,0.05,C5.1_WD4_F4,C5.1_WD4_F4
220,C5.1_WD5_F5-R1,0.7316,40.0,4.0,0.021665,20.0,0.716594,2.211578,0.058865,16.808802,0.379974,460.093519,0.000246,0.002152,0.001374,0.003696,0.000377,0.05,C5.1_WD5_F5,C5.1_WD5_F5
221,C5.1_WD5_F5-R3,0.7337,40.0,4.0,0.021665,20.0,0.716594,2.211578,0.058865,16.808802,0.379974,460.093519,0.000246,0.002152,0.001374,0.003696,0.000377,0.05,C5.1_WD5_F5,C5.1_WD5_F5
222,C5.1_WD6_F6-R1,0.511,40.0,4.0,0.015771,20.0,0.596566,2.461602,0.05738,12.072126,0.556695,432.685654,0.000179,0.002404,0.003917,0.001158,0.000466,0.05,C5.1_WD6_F6,C5.1_WD6_F6
223,C5.1_WD6_F6-R2,0.5698,40.0,4.0,0.015771,20.0,0.596566,2.461602,0.05738,12.072126,0.556695,432.685654,0.000179,0.002404,0.003917,0.001158,0.000466,0.05,C5.1_WD6_F6,C5.1_WD6_F6
224,C5.1_WD6_F6-R3,0.5744,40.0,4.0,0.015771,20.0,0.596566,2.461602,0.05738,12.072126,0.556695,432.685654,0.000179,0.002404,0.003917,0.001158,0.000466,0.05,C5.1_WD6_F6,C5.1_WD6_F6
225,C5.1_WD7_F7-R1,0.5399,40.0,4.0,0.013997,20.0,0.864015,2.643108,0.057202,11.196264,0.248801,395.946558,0.000124,0.001649,0.002606,0.01095,0.000642,0.05,C5.1_WD7_F7,C5.1_WD7_F7
